    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.269e+02   5.630e-01   3.270e+01
         1.0   1.269e+02   5.077e-01   1.854e+02
         1.0   1.260e+02   6.758e-01   4.239e+01
         1.0   1.260e+02   7.139e-01   2.501e+02
         1.0   1.249e+02   6.795e-01   7.594e+01
         1.0   1.276e+02   7.402e-01   7.902e+01
         1.0   1.256e+02   7.239e-01   7.237e+01
         1.0   1.162e+02   4.901e-01   1.518e+02
         1.0   1.242e+02   3.644e-01   6.118e+01
         1.0   1.261e+02   1.331e-01   5.512e+01
         1.0   1.254e+02   6.374e-01   5.321e+01
         1.0   1.241e+02   3.906e-01   1.162e+02
         1.0   1.234e+02   6.156e-01   7.911e+01
         1.0   1.214e+02   9.131e-01   6.516e+01
         1.0   1.191e+02   9.597e-01   2.653e+01
         1.0   1.221e+02   6.982e-01   1.263e+02
         1.0   1.225e+02   6.910e-01   8.408e+01
         1.0   1.166e+02   5.006e-01   1.598e+02
         1.0   9.509e+01   9.370e-01   3.277e+01
         1.0   1.261e+02   9.127e-01   2.174e+02
         1.0   1.263e+02   4.642e-01   1.510e+02
         1.0   1.272e+02   5.343e-01   4.662e+01
         1.0   1.214e+02   6.569e-01   2.428e+02
         1.0   1.271e+02   9.331e-01   9.575e+01
         1.0   1.053e+02   4.281e-01   1.080e+02
         1.0   1.254e+02   7.475e-01   1.489e+02
         1.0   1.214e+02   7.715e-01   2.657e+01
         1.0   1.255e+02   4.562e-01   1.337e+02
         1.0   1.239e+02   8.635e-01   8.564e+01
         1.0   1.308e+02   6.006e-01   9.854e+00
         1.0   1.267e+02   7.694e-01   5.813e+01
         1.0   1.261e+02   5.428e-01   1.124e+02
         1.0   1.211e+02   7.216e-01   8.398e+01
         1.0   1.229e+02   5.990e-01   7.167e+01
         1.0   1.249e+02   8.334e-01   5.975e+01
         1.0   1.249e+02   3.166e-01   2.382e+02
         1.0   1.262e+02   3.039e-01   7.267e+01
