    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.252e+02   3.701e-01   6.788e+02
         1.0   1.255e+02   7.386e-01   7.570e+02
         1.0   1.295e+02   9.383e-01   8.136e+02
         1.0   9.675e+01   6.994e-01   5.680e+02
         1.0   1.265e+02   6.465e-01   8.913e+02
         1.0   1.271e+02   5.743e-01   7.344e+02
         1.0   1.248e+02   5.869e-01   3.989e+02
         1.0   9.931e+01   5.724e-02   6.833e+02
         1.0   1.279e+02   3.538e-01   3.777e+02
         1.0   1.166e+02   8.069e-01   8.361e+02
         1.0   1.245e+02   6.761e-01   6.741e+02
         1.0   1.241e+02   7.683e-01   7.259e+02
         1.0   1.254e+02   6.177e-01   7.648e+02
         1.0   1.263e+02   8.280e-01   2.495e+02
         1.0   1.265e+02   4.405e-01   8.138e+02
         1.0   1.268e+02   8.586e-01   8.387e+02
         1.0   7.962e+01   8.141e-02   9.101e+02
         1.0   1.230e+02   6.283e-01   7.152e+02
         1.0   9.264e+01   1.673e-01   8.019e+02
         1.0   1.265e+02   3.537e-01   5.942e+02
         1.0   1.268e+02   1.334e-01   8.122e+02
         1.0   1.254e+02   7.429e-01   7.995e+02
         1.0   1.252e+02   6.764e-01   6.599e+02
         1.0   1.246e+02   7.668e-01   7.029e+02
         1.0   1.259e+02   1.437e-01   7.698e+02
         1.0   1.250e+02   3.123e-01   2.470e+02
         1.0   1.253e+02   6.486e-01   5.365e+02
         1.0   1.261e+02   6.502e-01   7.805e+02
         1.0   9.242e+01   3.920e-01   7.362e+02
         1.0   1.257e+02   2.016e-01   7.814e+02
         1.0   1.130e+02   6.909e-01   9.211e+02
         1.0   1.256e+02   8.236e-01   8.227e+02
         1.0   1.249e+02   6.262e-01   7.095e+02
         1.0   1.256e+02   6.852e-01   7.083e+02
         1.0   1.257e+02   6.903e-01   8.376e+02
         1.0   1.228e+02   8.953e-01   9.335e+02
         1.0   1.096e+02   1.214e-01   7.799e+02
         1.0   1.256e+02   7.227e-01   7.484e+02
